meal_name,cuisine,meal_type,diet_type,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min
Thank Soup,Mediterranean,Lunch,Vegetarian,1063,7.9,11.4,40.0,12.4,27.4,218,188,320,Baked,54,93
Or Curry,Thai,Breakfast,Vegan,736,77.7,139.1,34.6,13.7,8.8,1675,202,217,Baked,16,43
Heavy Salad,American,Lunch,Balanced,957,19.5,80.8,32.4,25.3,32.0,1812,44,316,Fried,52,111
Including Stew,Italian,Snack,Vegetarian,674,21.7,126.6,31.9,29.2,18.7,1920,121,266,Grilled,46,39
Clearly Salad,Mexican,Breakfast,Vegetarian,607,58.2,105.9,47.6,21.5,43.4,2054,227,443,Steamed,26,85
Career Sandwich,Thai,Snack,Paleo,225,55.6,61.1,39.8,29.8,17.6,322,193,271,Steamed,10,46
Popular Sandwich,Chinese,Snack,Vegan,845,77.4,27.3,59.1,5.9,48.9,2305,53,111,Fried,47,70
Forget Sandwich,American,Dinner,Vegetarian,518,50.2,64.2,50.5,9.3,19.9,2156,92,450,Boiled,45,54
Identify Sandwich,Chinese,Snack,Low-Carb,819,33.8,75.3,16.1,5.7,36.9,1842,85,483,Raw,25,52
Value Salad,Indian,Breakfast,Vegan,319,65.2,139.8,25.8,19.5,49.0,2267,30,326,Grilled,23,38
Officer Sandwich,Chinese,Snack,Vegetarian,931,46.6,129.4,59.3,27.6,46.1,374,83,162,Boiled,33,77
Dinner Soup,Mexican,Breakfast,Balanced,140,37.2,132.3,26.5,17.2,16.2,1231,266,369,Grilled,8,112
Present Pasta,Thai,Snack,Balanced,187,59.2,29.7,18.2,19.3,34.0,2180,33,124,Grilled,51,106
Box Sandwich,American,Snack,Keto,229,72.8,79.5,57.8,23.9,40.1,1292,210,127,Grilled,35,12
Choose Wrap,Chinese,Lunch,Vegan,1032,37.1,115.7,37.7,6.6,41.8,2087,284,173,Grilled,39,106
Method Stew,Chinese,Dinner,Vegan,122,14.6,110.3,8.9,3.2,3.0,869,169,148,Roasted,9,31
Outside Sandwich,Mediterranean,Lunch,Vegetarian,485,6.9,41.9,34.0,0.6,31.0,266,269,466,Boiled,39,93
Worker Stew,Japanese,Snack,Keto,1003,70.3,51.4,32.1,8.2,42.5,1867,61,467,Grilled,11,76
Democratic Sandwich,Chinese,Dinner,Paleo,1197,11.8,76.1,33.7,17.7,47.9,2073,71,121,Fried,20,83
Support Salad,Chinese,Breakfast,Keto,788,49.0,49.8,6.1,3.0,3.9,690,70,463,Boiled,58,63
North Rice,Indian,Breakfast,Vegan,393,35.4,148.6,6.3,3.4,19.9,713,66,430,Baked,10,16
Him Curry,Mediterranean,Snack,Vegan,836,9.5,73.6,19.7,7.9,47.0,1537,16,137,Roasted,10,8
Manager Curry,Japanese,Breakfast,Keto,734,15.6,17.1,3.3,28.8,20.1,1858,7,494,Boiled,10,97
Public Wrap,Thai,Dinner,Low-Carb,454,16.8,48.4,24.5,27.7,35.8,956,200,400,Baked,29,45
Major Stew,Italian,Dinner,Paleo,867,8.1,121.5,25.3,20.0,16.3,220,138,153,Fried,28,69
Them Rice,Italian,Breakfast,Keto,554,48.4,65.7,25.5,25.1,9.0,2079,64,189,Fried,45,30
Support Stew,Chinese,Breakfast,Vegetarian,651,39.0,94.8,49.1,13.7,19.5,611,76,167,Boiled,21,104
Ground Sandwich,Japanese,Lunch,Low-Carb,571,10.8,50.3,33.1,26.8,41.9,2057,223,458,Fried,43,59
Not Curry,American,Dinner,Vegan,236,69.4,110.4,16.1,24.0,49.2,2242,227,196,Raw,18,109
Daughter Salad,Chinese,Lunch,Vegan,580,54.1,124.4,49.0,17.8,34.9,1577,182,430,Roasted,16,81
Coach Salad,Mediterranean,Breakfast,Vegan,1200,43.3,111.5,16.8,28.6,3.2,747,110,401,Steamed,36,38
Tv Rice,Italian,Lunch,Vegan,938,57.2,95.4,16.1,19.5,0.5,323,131,220,Steamed,55,67
Nothing Sandwich,Thai,Snack,Keto,166,44.0,56.7,57.2,12.2,21.5,2373,44,211,Boiled,33,113
Sell Rice,Indian,Lunch,Keto,1139,20.7,80.6,42.6,15.0,0.0,886,40,232,Fried,26,116
Apply Salad,Mediterranean,Breakfast,Low-Carb,659,60.5,80.6,7.3,24.9,44.4,1202,18,295,Fried,8,17
Determine Soup,Mediterranean,Lunch,Vegetarian,1053,12.7,66.6,12.1,24.7,26.9,1480,184,387,Fried,21,55
Explain Wrap,Chinese,Dinner,Low-Carb,758,25.0,100.7,35.9,1.0,4.2,2329,215,310,Boiled,40,82
Pull Sandwich,Mexican,Lunch,Keto,223,42.4,48.8,22.7,26.2,18.4,2171,62,441,Boiled,15,55
Rest Rice,American,Breakfast,Low-Carb,148,15.8,58.4,29.4,13.5,11.8,1504,159,398,Steamed,30,27
Parent Curry,American,Dinner,Vegan,1119,66.8,113.0,22.4,18.9,11.3,620,9,235,Grilled,33,74
Threat Pasta,Indian,Snack,Vegetarian,1142,7.7,39.2,30.4,23.6,44.9,1115,183,454,Steamed,18,62
Theory Rice,Mexican,Snack,Paleo,239,77.6,51.1,58.1,0.4,34.5,1457,76,242,Baked,27,82
Business Curry,Italian,Breakfast,Vegan,1096,45.7,15.9,56.1,24.9,21.7,1742,14,150,Fried,11,45
Congress Stew,Mexican,Lunch,Keto,396,44.3,63.0,15.1,13.6,47.5,1203,171,217,Fried,12,14
Effort Sandwich,Italian,Breakfast,Vegetarian,1008,16.6,93.6,43.0,3.7,40.8,1596,57,106,Raw,7,14
Likely Curry,Mediterranean,Snack,Paleo,409,49.8,29.0,30.1,14.3,37.9,2167,92,370,Grilled,53,41
Lawyer Pasta,Mediterranean,Breakfast,Vegetarian,172,63.3,42.4,47.8,5.6,21.6,2038,60,258,Steamed,45,43
Argue Sandwich,Indian,Breakfast,Low-Carb,882,44.2,6.7,15.5,10.4,15.9,2408,234,473,Raw,25,25
Foreign Stew,Mediterranean,Dinner,Low-Carb,682,51.5,62.6,28.9,8.7,39.0,1804,221,341,Fried,54,61
Do Pasta,American,Breakfast,Balanced,1007,10.7,51.9,43.9,6.5,4.0,2358,293,275,Steamed,23,90
Everybody Soup,Indian,Breakfast,Balanced,646,68.0,17.4,21.5,2.5,46.9,1439,67,423,Fried,55,13
Break Pasta,American,Snack,Balanced,503,36.3,34.6,2.4,20.3,24.1,1922,79,348,Roasted,23,21
So Soup,American,Snack,Paleo,920,12.6,52.0,11.7,11.4,4.3,1229,7,443,Fried,26,82
Develop Wrap,Italian,Snack,Keto,1022,43.8,29.7,29.8,19.9,30.7,95,108,161,Steamed,7,69
Begin Sandwich,Indian,Dinner,Low-Carb,354,33.9,38.7,6.7,1.1,34.7,1688,298,336,Roasted,7,40
Else Stew,Mediterranean,Lunch,Vegetarian,1024,5.5,29.3,16.6,2.4,43.1,1038,265,100,Steamed,13,116
Try Rice,Indian,Breakfast,Low-Carb,407,78.2,17.3,44.9,24.9,35.7,443,95,308,Fried,48,39
Southern Stew,Italian,Lunch,Keto,828,30.2,126.6,13.9,14.6,9.6,120,7,313,Fried,27,104
Open Soup,American,Lunch,Low-Carb,277,60.2,45.5,2.9,13.8,16.7,590,232,239,Boiled,60,75
Month Sandwich,Italian,Dinner,Vegan,161,45.4,128.4,49.8,7.1,25.6,2499,89,164,Raw,10,52
Drug Sandwich,Japanese,Snack,Balanced,574,21.2,42.1,29.3,26.6,27.9,952,159,153,Roasted,10,18
Stuff Wrap,Mediterranean,Lunch,Vegan,736,62.3,20.8,54.9,20.7,0.2,540,255,428,Fried,57,68
Southern Pasta,American,Dinner,Balanced,837,75.7,0.7,51.8,4.5,29.0,1737,140,486,Boiled,54,111
Particular Rice,Mexican,Snack,Vegan,955,59.8,100.4,36.3,29.5,6.7,2426,247,100,Steamed,60,50
Pick Pasta,American,Snack,Vegan,383,70.3,39.8,41.7,27.9,10.8,1599,137,127,Steamed,45,31
Old Wrap,Mediterranean,Lunch,Keto,961,28.4,63.0,54.7,2.4,7.6,425,208,346,Boiled,15,44
Level Soup,Mediterranean,Lunch,Balanced,558,15.5,33.9,45.9,7.0,15.4,424,199,371,Grilled,46,56
Decision Pasta,Mediterranean,Dinner,Vegetarian,195,10.6,72.8,19.3,7.5,5.6,60,183,270,Roasted,37,67
Remain Stew,Thai,Lunch,Balanced,428,35.7,74.9,55.2,6.5,20.1,414,70,360,Baked,41,112
Doctor Stew,Mexican,Snack,Low-Carb,613,12.9,83.8,37.9,2.9,20.1,839,121,241,Raw,48,111
Green Wrap,Chinese,Snack,Vegetarian,667,7.6,70.5,46.9,7.0,24.6,809,27,299,Roasted,58,97
White Rice,Italian,Snack,Low-Carb,229,10.3,21.3,42.3,8.6,37.3,1418,127,486,Steamed,13,34
Carry Salad,Mediterranean,Breakfast,Vegetarian,800,62.0,114.1,42.3,17.0,3.6,1935,217,195,Steamed,55,10
Attention Wrap,Indian,Lunch,Vegan,245,62.6,144.9,28.7,13.5,44.4,1941,185,470,Boiled,56,50
Character Soup,Mexican,Breakfast,Balanced,468,20.7,108.4,48.3,6.6,40.3,1840,166,335,Boiled,48,59
Develop Pasta,American,Breakfast,Low-Carb,373,62.6,1.2,11.8,24.3,31.5,2187,137,273,Fried,8,31
Term Salad,Thai,Dinner,Keto,607,21.7,39.8,13.9,6.2,14.5,1880,224,347,Roasted,57,80
Follow Sandwich,Italian,Snack,Low-Carb,983,78.5,5.1,6.2,10.9,38.7,642,77,417,Fried,35,11
Drug Soup,Japanese,Lunch,Keto,614,59.8,36.9,13.3,14.8,12.7,2233,54,287,Steamed,52,45
Relate Sandwich,Thai,Dinner,Balanced,548,14.1,89.1,40.7,9.9,28.9,1379,204,380,Roasted,58,7
These Salad,Mexican,Breakfast,Low-Carb,1041,38.8,39.7,31.3,27.7,16.3,2221,219,324,Steamed,17,84
Build Sandwich,Mexican,Breakfast,Low-Carb,998,6.0,48.0,28.5,27.1,38.1,1353,146,437,Fried,22,67
Line Salad,Indian,Breakfast,Paleo,688,73.4,125.7,20.7,7.9,22.6,801,90,389,Fried,6,37
Yourself Salad,Italian,Dinner,Low-Carb,765,46.1,46.1,42.3,27.8,32.3,1742,31,278,Steamed,20,91
Sing Salad,Chinese,Lunch,Vegetarian,711,42.7,84.4,14.7,19.0,14.7,159,120,452,Steamed,53,81
Economy Salad,Mexican,Snack,Vegetarian,351,67.5,63.8,31.4,5.1,5.7,842,292,376,Roasted,36,53
Maintain Soup,Italian,Lunch,Keto,943,35.5,137.7,4.6,23.5,28.5,690,69,486,Fried,28,104
Share Salad,Mexican,Breakfast,Paleo,396,43.6,87.5,27.3,1.0,20.2,1127,23,335,Steamed,38,69
Serious Rice,Chinese,Breakfast,Balanced,461,55.6,116.0,14.7,0.1,9.5,1314,179,218,Roasted,38,19
Mention Sandwich,Indian,Breakfast,Paleo,191,24.5,20.3,34.5,20.8,9.8,1106,200,449,Grilled,9,113
Land Salad,Japanese,Snack,Keto,888,13.8,110.9,48.4,25.0,25.3,753,234,140,Raw,17,64
You Sandwich,Mexican,Dinner,Vegetarian,1062,29.1,83.7,50.9,29.5,23.1,1520,140,451,Steamed,38,49
History Curry,Indian,Dinner,Low-Carb,251,68.5,8.8,29.8,8.1,43.1,299,9,348,Roasted,31,55
Size Stew,Italian,Dinner,Balanced,896,56.1,56.7,39.8,5.6,6.5,1391,286,365,Grilled,49,96
Employee Rice,Thai,Dinner,Paleo,816,17.4,145.8,54.3,19.4,7.0,2205,255,373,Steamed,52,85
Center Rice,American,Snack,Vegan,411,63.7,47.5,2.4,2.6,48.7,1472,209,254,Fried,44,94
Know Stew,American,Snack,Vegan,530,78.0,118.5,35.1,15.1,15.1,375,278,254,Grilled,35,113
Inside Pasta,Indian,Lunch,Vegetarian,991,11.7,73.4,25.5,20.0,28.0,1119,176,488,Grilled,24,117
Party Sandwich,Italian,Breakfast,Vegetarian,402,53.5,144.2,0.8,24.3,1.2,2308,213,387,Roasted,42,10
Us Sandwich,Thai,Breakfast,Vegetarian,928,40.9,83.8,41.3,6.4,21.0,1580,181,136,Grilled,57,119
Young Rice,Mexican,Breakfast,Keto,1177,23.7,24.5,1.4,1.6,5.1,1871,79,147,Grilled,16,77
Themselves Sandwich,Mediterranean,Lunch,Low-Carb,1137,32.1,32.9,2.3,11.6,41.0,2079,2,170,Raw,39,17
Phone Curry,Mediterranean,Breakfast,Vegan,1143,72.8,24.7,59.2,23.2,9.6,2033,171,245,Raw,20,65
Production Salad,Thai,Snack,Vegan,773,30.9,126.9,53.8,14.3,16.1,446,84,234,Baked,26,105
Again Salad,American,Dinner,Balanced,492,26.2,111.2,27.7,26.5,20.4,1557,295,494,Steamed,14,27
Door Soup,American,Lunch,Vegan,329,68.1,57.3,41.8,14.0,6.4,1701,300,402,Baked,24,9
Develop Pasta,Italian,Lunch,Vegan,261,45.8,81.9,8.2,3.4,16.1,1523,19,211,Roasted,10,89
Firm Sandwich,Chinese,Dinner,Paleo,155,37.1,101.9,4.0,19.5,23.7,2424,260,474,Raw,26,82
Production Pasta,Italian,Snack,Vegetarian,119,63.9,133.3,37.9,15.7,16.9,1658,11,288,Raw,12,53
Present Stew,Italian,Dinner,Vegetarian,697,71.6,4.1,47.9,14.7,6.4,2326,47,177,Baked,60,6
Too Salad,Thai,Breakfast,Low-Carb,283,62.3,11.5,47.9,10.3,43.4,1536,80,128,Fried,60,40
Test Sandwich,Mediterranean,Lunch,Keto,311,56.3,67.9,1.5,25.1,32.0,2295,170,116,Roasted,46,7
Nice Salad,Japanese,Dinner,Keto,180,60.5,28.3,47.5,1.7,21.6,2443,239,483,Roasted,28,27
Recognize Salad,Indian,Breakfast,Vegan,1168,16.6,103.2,19.9,9.7,42.7,412,158,171,Roasted,32,21
Consumer Soup,Thai,Breakfast,Vegetarian,791,32.6,114.6,9.8,11.8,11.9,2118,250,401,Boiled,10,25
Less Wrap,Thai,Breakfast,Vegan,774,79.1,40.8,12.5,22.6,18.9,314,238,152,Steamed,23,94
Reach Soup,Italian,Breakfast,Balanced,1032,15.5,89.2,48.8,8.6,11.1,2365,159,222,Boiled,16,45
Movie Soup,Indian,Dinner,Vegetarian,909,13.5,61.4,50.5,5.4,6.3,1316,299,148,Roasted,47,59
Well Curry,Japanese,Breakfast,Keto,863,44.8,69.1,11.6,11.9,24.7,91,217,442,Boiled,57,71
Heart Wrap,Mediterranean,Lunch,Keto,886,74.6,11.7,26.5,6.3,25.8,505,285,140,Baked,26,59
None Rice,Mediterranean,Dinner,Low-Carb,215,32.1,52.8,12.6,29.4,25.7,1527,121,157,Fried,45,41
Large Salad,Italian,Snack,Vegan,734,77.4,129.8,37.4,24.8,12.6,1808,227,105,Grilled,51,83
Return Soup,Chinese,Dinner,Balanced,370,76.9,88.7,40.9,1.9,6.1,630,295,319,Raw,54,102
Each Sandwich,Indian,Snack,Vegetarian,1089,42.4,106.8,28.0,14.4,45.9,372,68,177,Raw,28,102
Respond Stew,American,Breakfast,Vegan,728,32.1,118.6,24.9,6.7,32.2,113,142,191,Boiled,33,86
Into Pasta,American,Dinner,Keto,807,75.5,58.2,59.2,26.4,0.2,1323,202,239,Fried,48,66
Training Curry,Mediterranean,Lunch,Low-Carb,1005,13.5,137.8,49.7,20.9,26.9,188,154,413,Grilled,13,29
Thing Wrap,Indian,Breakfast,Low-Carb,751,36.5,91.8,0.4,20.4,3.2,133,94,143,Steamed,54,10
Agent Stew,American,Snack,Paleo,101,72.8,24.0,48.0,20.6,46.6,1006,57,446,Boiled,46,108
Agency Rice,American,Breakfast,Paleo,415,43.7,22.0,42.7,0.3,35.9,1277,236,473,Baked,25,38
Game Stew,Mexican,Dinner,Low-Carb,998,37.6,141.8,41.6,16.7,25.5,864,49,207,Raw,38,112
Level Wrap,Indian,Snack,Vegetarian,939,5.9,92.3,25.8,23.9,42.8,1164,54,174,Roasted,6,96
Ever Soup,American,Breakfast,Vegan,147,59.2,31.7,43.3,7.8,19.6,2261,231,111,Steamed,37,77
Also Sandwich,Italian,Breakfast,Keto,241,29.6,16.6,40.8,13.5,27.7,2374,218,295,Steamed,23,59
Difficult Pasta,American,Lunch,Low-Carb,614,77.8,139.1,24.6,24.6,38.8,1698,206,364,Steamed,11,80
Time Curry,Thai,Breakfast,Balanced,168,73.9,86.9,58.4,9.1,25.1,1830,154,223,Grilled,57,91
Throw Curry,Japanese,Lunch,Vegetarian,852,61.4,127.0,36.7,28.8,19.4,1366,65,348,Fried,56,76
Amount Rice,Mexican,Breakfast,Balanced,675,47.2,42.1,54.0,23.3,7.1,1275,159,237,Roasted,10,8
Price Pasta,Mediterranean,Breakfast,Low-Carb,874,70.4,128.3,56.8,23.3,5.2,2039,145,233,Fried,17,6
Energy Salad,Mediterranean,Breakfast,Balanced,374,39.9,31.5,25.6,17.7,1.4,696,286,301,Baked,17,116
Traditional Curry,Mediterranean,Snack,Low-Carb,324,7.8,139.2,57.3,14.7,38.3,2322,6,130,Grilled,46,58
Buy Soup,Mediterranean,Lunch,Balanced,533,10.1,100.0,43.9,8.0,23.6,968,276,337,Boiled,28,89
Produce Stew,American,Lunch,Balanced,992,75.9,144.3,36.9,21.3,15.3,293,247,463,Grilled,40,104
Once Curry,Thai,Breakfast,Vegan,456,21.7,40.8,45.1,6.4,10.9,2000,48,186,Grilled,29,82
As Sandwich,Chinese,Snack,Balanced,905,37.2,66.9,1.4,5.9,3.7,2368,6,409,Boiled,38,102
Worry Rice,Mexican,Breakfast,Vegetarian,622,8.1,99.0,51.9,7.8,20.9,303,60,308,Roasted,53,84
Bag Wrap,American,Lunch,Balanced,104,35.5,118.7,28.8,0.5,14.8,199,28,186,Baked,44,68
Line Curry,Mexican,Snack,Low-Carb,908,59.3,19.2,17.9,4.2,22.8,512,242,407,Roasted,17,97
Produce Soup,Mexican,Dinner,Vegan,1067,72.8,78.3,1.1,6.2,0.6,2380,68,175,Raw,41,76
Accept Wrap,American,Lunch,Balanced,646,74.6,89.0,40.8,16.4,16.9,617,78,214,Baked,54,84
His Rice,Mediterranean,Snack,Vegetarian,976,37.6,60.6,46.4,12.9,47.7,1353,239,436,Boiled,27,61
Small Sandwich,Mexican,Lunch,Paleo,587,32.7,125.2,48.2,10.2,19.1,802,226,174,Steamed,35,110
So Stew,Chinese,Lunch,Paleo,814,61.5,51.9,47.9,24.5,1.8,2315,185,364,Fried,12,13
Television Sandwich,Chinese,Lunch,Low-Carb,440,38.3,0.9,9.4,2.8,23.3,1128,75,367,Baked,50,35
Next Rice,Thai,Snack,Balanced,262,40.7,122.6,2.8,23.1,48.4,1183,140,258,Grilled,52,66
Until Rice,Indian,Dinner,Balanced,324,58.0,47.3,58.3,6.9,43.6,1195,187,205,Baked,8,39
Represent Sandwich,Italian,Snack,Low-Carb,795,73.4,7.2,3.8,25.1,49.6,65,161,402,Roasted,43,15
Environmental Pasta,Thai,Lunch,Keto,1114,35.1,12.5,14.0,24.5,27.3,2383,34,166,Raw,9,117
Top Wrap,American,Dinner,Keto,1055,11.4,109.9,4.8,29.6,47.9,783,4,479,Boiled,45,100
Suggest Soup,Chinese,Dinner,Low-Carb,257,72.0,95.0,53.7,20.1,37.2,1339,151,208,Fried,28,6
Own Salad,Mediterranean,Dinner,Paleo,925,28.9,101.6,48.7,6.9,40.4,2470,99,164,Grilled,57,42
Vote Stew,Mediterranean,Snack,Paleo,1035,44.5,136.5,38.0,26.1,14.8,1813,64,268,Fried,49,113
Middle Soup,Thai,Lunch,Paleo,771,70.0,86.5,44.1,5.8,18.0,2226,104,442,Grilled,12,69
Forget Sandwich,Mexican,Breakfast,Balanced,870,77.4,45.2,29.2,21.6,11.0,1575,251,365,Fried,30,8
Traditional Curry,Japanese,Snack,Paleo,722,46.0,58.1,48.7,2.4,32.7,2123,110,378,Roasted,25,56
Movement Rice,Thai,Lunch,Balanced,1001,15.3,69.8,1.2,4.2,29.1,86,184,499,Boiled,25,69
Parent Salad,Japanese,Lunch,Low-Carb,365,50.3,136.8,2.3,14.8,14.9,1258,212,293,Fried,54,107
Personal Soup,Thai,Lunch,Vegan,140,32.5,71.4,1.0,5.6,30.2,292,266,271,Fried,59,22
Room Stew,Chinese,Breakfast,Vegetarian,1166,64.3,27.1,57.5,29.0,39.7,1098,46,222,Baked,37,81
Us Soup,Indian,Snack,Vegetarian,394,10.6,43.6,42.5,9.3,41.2,539,237,196,Baked,58,12
Firm Wrap,Chinese,Breakfast,Balanced,899,29.4,47.2,19.3,13.3,11.0,843,174,260,Raw,43,39
Skill Rice,Mexican,Lunch,Low-Carb,277,11.7,113.8,48.5,29.2,27.3,1854,194,292,Steamed,22,28
Plan Salad,Japanese,Dinner,Keto,124,55.5,110.7,55.0,24.9,10.5,1682,17,167,Roasted,8,95
Mother Rice,Mexican,Breakfast,Vegan,552,73.8,113.1,27.9,28.4,4.9,1542,274,166,Boiled,59,68
Difficult Wrap,Japanese,Snack,Vegetarian,1183,28.4,15.4,53.2,19.0,39.9,1313,251,314,Raw,48,14
Activity Sandwich,American,Lunch,Vegetarian,100,64.1,134.8,11.7,4.5,21.0,519,215,292,Fried,36,85
Natural Wrap,Italian,Breakfast,Vegan,495,35.9,63.8,31.6,20.2,1.2,1499,290,316,Roasted,24,13
Grow Curry,Mediterranean,Breakfast,Paleo,378,27.8,33.7,54.8,1.8,30.8,134,1,245,Fried,19,77
Since Salad,Mexican,Lunch,Keto,643,36.0,95.1,49.6,19.3,28.8,485,48,179,Roasted,9,72
Politics Stew,Mexican,Lunch,Balanced,354,19.7,92.8,0.8,5.4,35.0,1398,26,184,Grilled,20,62
Poor Salad,Thai,Lunch,Low-Carb,715,5.6,80.2,21.7,29.4,6.8,944,77,477,Baked,56,86
Seat Sandwich,American,Lunch,Vegetarian,1175,16.1,26.9,26.5,6.5,24.4,1193,39,372,Fried,39,53
Some Wrap,Mediterranean,Snack,Balanced,978,20.1,74.8,49.7,5.5,16.0,2390,214,297,Steamed,15,5
Just Curry,Japanese,Lunch,Balanced,424,50.0,54.8,12.2,12.3,21.7,772,63,217,Fried,43,12
Despite Soup,Indian,Breakfast,Low-Carb,419,55.7,129.4,2.6,4.1,37.0,879,235,336,Fried,48,110
Here Pasta,Indian,Dinner,Low-Carb,882,69.9,58.2,4.4,10.1,38.1,1708,221,449,Steamed,50,58
Performance Soup,Indian,Dinner,Paleo,350,65.6,64.0,45.1,27.3,25.6,2321,54,368,Steamed,8,21
Third Pasta,American,Lunch,Balanced,779,13.5,110.4,29.9,27.0,36.7,1834,17,303,Steamed,44,15
Require Wrap,Chinese,Dinner,Balanced,826,27.7,23.6,22.1,17.4,48.4,892,48,465,Roasted,6,56
Own Rice,Indian,Lunch,Balanced,473,24.3,54.4,42.2,7.7,18.4,95,179,213,Grilled,44,83
Store Pasta,Mediterranean,Lunch,Vegetarian,156,48.2,53.0,59.0,4.4,26.9,1842,261,432,Boiled,11,11
Call Sandwich,Indian,Snack,Paleo,989,45.1,114.8,53.2,4.7,14.8,132,36,104,Raw,15,111
We Salad,Thai,Dinner,Vegan,1087,22.3,52.2,38.5,26.8,47.8,2300,83,427,Grilled,46,62
Ahead Soup,Mexican,Snack,Vegan,765,71.0,12.0,30.8,12.3,31.3,414,177,476,Roasted,23,109
Owner Salad,Japanese,Lunch,Keto,978,12.3,130.2,3.1,20.4,23.2,1132,47,219,Baked,14,118
Citizen Sandwich,Japanese,Lunch,Paleo,910,75.7,38.1,27.4,0.3,21.0,926,274,290,Fried,16,41
Agreement Curry,Indian,Breakfast,Balanced,393,31.1,67.1,53.6,15.4,15.5,2377,38,414,Roasted,21,56
Television Stew,Mediterranean,Dinner,Low-Carb,841,21.0,133.9,55.6,5.2,10.8,748,117,114,Fried,22,68
Election Sandwich,Italian,Breakfast,Vegan,1040,76.5,11.9,40.4,3.2,34.5,2175,197,495,Roasted,11,116
Glass Curry,Chinese,Snack,Paleo,1095,24.8,23.7,20.7,5.6,28.8,1937,194,334,Grilled,13,35
Especially Salad,Mediterranean,Dinner,Low-Carb,287,17.1,111.5,52.4,9.2,10.9,1774,188,358,Roasted,56,112
Player Curry,Chinese,Lunch,Low-Carb,230,49.1,53.3,58.4,9.3,35.6,1852,161,191,Fried,15,37
Current Curry,Mediterranean,Dinner,Keto,445,37.4,56.0,40.3,28.9,16.9,66,35,486,Roasted,55,20
Suffer Rice,Thai,Lunch,Keto,1159,75.9,21.6,3.8,0.9,7.5,92,90,451,Roasted,50,29
Current Curry,Chinese,Lunch,Low-Carb,1115,9.0,7.0,11.9,10.9,22.8,1565,268,238,Fried,23,97
Face Stew,Japanese,Dinner,Low-Carb,1179,70.3,138.0,44.0,26.1,22.8,1726,109,189,Grilled,23,119
Miss Soup,Japanese,Breakfast,Vegan,517,67.4,132.2,35.0,15.8,15.6,623,198,221,Roasted,30,115
Help Sandwich,Chinese,Lunch,Keto,943,35.9,64.4,37.5,25.4,33.3,71,133,286,Roasted,21,87
Community Sandwich,Mexican,Snack,Low-Carb,638,54.6,89.4,53.6,10.2,25.7,383,36,354,Baked,19,89
Despite Stew,Indian,Lunch,Keto,267,38.6,74.3,55.7,8.3,3.8,2426,295,437,Boiled,20,117
Issue Curry,American,Dinner,Vegetarian,803,13.0,95.8,59.7,19.1,44.0,1248,262,482,Roasted,17,104
From Wrap,Mexican,Lunch,Balanced,784,27.2,29.1,20.8,2.2,38.2,927,218,212,Raw,39,10
Skill Soup,Thai,Breakfast,Vegan,954,32.7,88.0,47.1,15.7,27.0,1433,71,305,Baked,53,35
Read Stew,Mediterranean,Breakfast,Keto,1019,11.2,11.6,39.4,10.7,26.9,1900,245,385,Raw,33,18
Commercial Curry,Mediterranean,Snack,Vegan,405,14.1,1.0,31.1,24.1,25.3,1994,194,399,Baked,40,59
Great Stew,American,Dinner,Balanced,640,26.7,66.6,57.6,24.7,25.2,841,297,298,Boiled,60,16
Third Pasta,Mediterranean,Dinner,Paleo,1004,43.6,87.5,9.6,14.1,39.2,1083,129,136,Grilled,25,54
Become Salad,Chinese,Snack,Vegan,1045,42.0,60.8,10.2,26.2,49.3,2286,15,356,Grilled,10,89
Relationship Rice,American,Breakfast,Keto,454,37.8,28.1,55.3,21.6,27.5,1255,291,162,Grilled,55,82
Change Salad,Thai,Breakfast,Vegetarian,762,23.9,51.0,58.1,28.1,42.1,639,139,486,Boiled,10,13
There Salad,Indian,Lunch,Low-Carb,180,46.7,26.3,54.4,15.4,8.8,932,149,338,Boiled,37,112
Shoulder Salad,American,Lunch,Low-Carb,662,72.7,85.0,23.2,27.6,19.6,2293,43,322,Grilled,8,116
Social Wrap,Mediterranean,Breakfast,Paleo,765,57.9,97.1,17.0,27.6,29.1,220,34,255,Boiled,42,105
Discover Sandwich,Italian,Dinner,Keto,1027,52.0,41.5,57.9,21.8,20.1,457,300,306,Raw,48,55
Onto Soup,Thai,Dinner,Keto,324,19.0,141.9,35.5,11.8,9.9,1356,171,271,Baked,42,120
Prevent Sandwich,American,Dinner,Keto,561,60.0,29.2,32.7,17.1,31.3,60,268,293,Fried,11,34
Become Sandwich,Chinese,Dinner,Low-Carb,172,74.7,148.7,57.0,23.9,0.5,1781,163,256,Roasted,27,98
Reduce Rice,Indian,Breakfast,Keto,504,16.6,68.7,15.8,26.5,17.8,1833,53,203,Boiled,39,53
Set Soup,Thai,Lunch,Low-Carb,786,46.4,47.4,52.9,3.5,31.6,224,2,154,Roasted,44,26
Again Salad,Mediterranean,Breakfast,Paleo,621,37.4,145.5,32.0,16.7,45.2,274,154,317,Boiled,42,51
Wide Wrap,Japanese,Breakfast,Keto,512,32.2,69.5,41.0,0.1,17.8,1606,200,219,Fried,5,51
Across Stew,Indian,Breakfast,Low-Carb,325,15.8,62.6,3.3,21.9,33.3,609,33,364,Roasted,56,64
