,title,ingredients,directions,NER
326,Sopapilla Fruit Dip,"[""1 cup Plain Lowfat Yogurt"", ""1- 1/2 teaspoon Pure Vanilla Extract"", ""3- 1/2 Tablespoons Honey"", ""1 teaspoon Ground Cinnamon""]","[""In a bowl, mix yogurt, vanilla, honey, and cinnamon together with a fork until very well combined."", ""For a less sweet and tangier dip, use only 2 tablespoons honey."", ""Refrigerate and serve with the fruit of your choice, use as a dip with cookies, or drizzle over ice cream or warm brownies.""]","[""honey"", ""yogurt"", ""ground cinnamon"", ""vanilla""]"
327,Poached Salmon With Dill Horseradish Sauce Recipe,"["":"", ""2 cups white wine"", ""2 cups vegetable stock (or water)"", ""2 onions, coarsely chopped"", ""1 small bunch dill"", ""5 sage leaves"", ""3 bay leaves"", ""2 lemons, quartered"", ""Kosher salt and cracked black pepper"", ""2 pounds salmon filet"", "":"", ""2 tablespoons finely chopped dill"", ""2 tablespoons prepared horseradish"", ""2 tablespoons lemon juice"", ""1/4 cup sour cream"", ""1/4 cup mayonnaise"", ""Kosher salt and cracked black pepper"", ""Sliced chives, to garnish""]","["": Bring a kettle of water to a boil then remove from heat. Heat white wine, vegetable stock (or water) onion, dill, sage leaves, bay leaves to a large skillet and bring to a simmer. Add lemon quarters to liquid squeezing each one into the skillet before adding it, then simmer for an additional 15 minutes. Season to taste with salt and pepper."", ""Add salmon, skin side down to the simmering liquid. Using the hot water from the kettle add additional water if necessary to cover the salmon. Cook until salmon is just cooked though, about 8 minutes. Remove from liquid and let sit for 15 minutes."", "": In a small bowl mix together dill, horseradish, lemon juice, sour cream, mayonnaise and season to taste with salt and pepper."", ""Divide the salmon between 4 plates, then top with dill horseradish sauce and sprinkle with chives. Serve with a light green salad and a light white wine.""]","[""sour cream"", ""salmon filet"", ""lemon juice"", ""lemons"", ""horseradish"", ""vegetable stock"", ""kosher salt"", ""bay leaves"", ""sage"", ""onions"", ""white wine"", ""dill"", ""mayonnaise"", ""chives""]"
328,Creamy Tarragon Asparagus Tart,"[""1 prebaked Pie crust--see my recipe for processor pie crust or use your favorite"", ""1 1/2 cups plain nonfat Greek yogurt"", ""1/2 cup milk"", ""3 large eggs"", ""1 teaspoon salt"", ""1/2 teaspoon freshly ground pepper"", ""1 tablespoon each fresh tarragon and chives, minced"", ""zest of 1 lemon"", ""25 thin stalks asparagus, cut into 1 1/2 inch lengths""]","[""Preheat oven to 350F."", ""In a mixing bowl, whisk together the yogurt, milk, eggs, seasonings, herbs, and zest, until well combined. Sprinkle the asparagus pieces into the bottom of the pie crust. Pour the egg/yogurt mixture over the asparagus, and place the pie tin on a baking sheet (to catch any spills in the oven)."", ""Bake for 35 minutes, or until lightly browned and puffy, and a knife inserted into the center comes out clean. There may seem to be a lot of liquid in the tart, but don't be alarmed. Let the tart sit for 10 minutes before cutting to serve and the liquid will magically be absorbed. This is also delicious served cold.""]","[""eggs"", ""stalks asparagus"", ""freshly ground pepper"", ""yogurt"", ""pie crust"", ""milk"", ""tarragon"", ""salt""]"
329,Cold Salad,"[""1/2 c. oil"", ""1/2 c. cider vinegar"", ""3/4 c. sugar"", ""1 tsp. salt"", ""1 tsp. pepper"", ""1 c. chopped celery"", ""1 c. chopped green peppers"", ""1 can Shoe Peg corn"", ""1 small can French-cut green beans"", ""1 small can peas"", ""2 bunches scallions""]","[""Mix oil, vinegar, sugar, salt and pepper over heat."", ""Bring to boil until sugar is melted clear."", ""Set aside."", ""Mix all vegetables together in big bowl."", ""Pour liquid over vegetables."", ""Put in refrigerator for 1 hour or longer."", ""Serve cold.""]","[""oil"", ""peas"", ""bunches scallions"", ""sugar"", ""pepper"", ""green peppers"", ""peg corn"", ""celery"", ""green beans"", ""cider vinegar"", ""salt""]"
330,Shrimp Salad,"[""2 (7 1/2 oz.) cans small shrimp"", ""1 medium can peas (early June)"", ""1 cucumber"", ""milk"", ""1 1/2 qt. cooked macaroni (any kind you like)"", ""1 small jar salad dressing (12 to 16 oz.)""]","[""Cook macaroni."", ""In a large bowl, add shrimp, peas and cucumber (take inside seeds out of cucumber)."", ""Mix milk and salad dressing until creamy."", ""Mix all ingredients together.""]","[""peas"", ""cucumber"", ""macaroni"", ""milk"", ""shrimp"", ""salad dressing""]"
331,Vegetarian Breaded Zucchini Sticks,"[""3 zucchini"", ""1 cup flour"", ""12 cup breadcrumbs"", ""1 12 cups water"", ""12 teaspoon salt"", ""1 teaspoon basil leaves"", ""1 pinch black pepper"", ""1 pinch garlic powder or 1 pinch hing"", ""oil (for frying)""]","[""Quarter zucchini lengthwise and cut each piece in half."", ""In bowl combine flour, bread crumbs and spices."", ""Add water and stir."", ""Fill skillet 1/3 full w/ oil, then heat."", ""Dip zucchini pieces in batter and then into hot oil; fry on all sides until tender and crisp."", ""Serve hot.""]","[""oil"", ""black pepper"", ""water"", ""flour"", ""breadcrumbs"", ""basil"", ""garlic"", ""zucchini"", ""salt""]"
332,Chinese Chews,"[""1/2 c. butter"", ""1 1/2 c. flour"", ""2 Tbsp. sugar""]","[""Mix. Bake at 350\u00b0 in 9 x 9-inch pan for 12 to 15 minutes."", ""Cool slightly.""]","[""flour"", ""sugar"", ""butter""]"
333,Zucchini Bread,"[""2 cups raw zucchini, shredded"", ""3 eggs"", ""1 34 cups sugar"", ""1 cup vegetable oil"", ""2 cups flour"", ""14 teaspoon baking powder"", ""2 teaspoons baking soda"", ""2 teaspoons cinnamon"", ""1 teaspoon salt"", ""2 teaspoons vanilla"", ""1 cup walnuts, chopped""]","[""Place zucchini in a strainer, press and squeeze with your hands to get the excess liquid out."", ""Beat eggs, sugar, and oil together in a large bowl."", ""Add flour, baking powder, baking soda, cinnamon, salt, vanilla, and walnuts."", ""Mix together with a wooden spoon or spoonula."", ""Add drained zucchini, mix well."", ""For Loaf Pans: pour into 2 greased loaf pans."", ""Bake 55 to 65 minutes at 350 degrees, ( For Muffins: bake at 350 degrees for 25 - 30 minutes ) or until a wooden tooth pick inserted in the center comes out clean.""]","[""sugar"", ""baking powder"", ""vanilla"", ""eggs"", ""baking soda"", ""cinnamon"", ""flour"", ""walnuts"", ""vegetable oil"", ""zucchini"", ""salt""]"
334,Pumpkin Bread,"[""3 cups sugar"", ""1 cup salad oil (canola)"", ""4 eggs, beaten"", ""1 (16 ounce) can solid pack pumpkin"", ""2/3 cup water"", ""3 1/2 cups all-purpose flour"", ""1/2 teaspoon clove"", ""2 teaspoons baking soda"", ""2 teaspoons salt"", ""1 teaspoon baking powder"", ""1 teaspoon nutmeg"", ""1 teaspoon allspice"", ""1 teaspoon cinnamon""]","[""Cream the sugar and oil together."", ""Add eggs and pumpkin, mixing well."", ""Mix together the dry ingredients."", ""Add dry ingredients to pumpkin mixture alternately with water."", ""Pour into 2 well greased and floured 9 x 5 inch loaf pans."", ""Bake at 350 degrees for 1 1/2 hours or until tests done."", ""Let stand 10 minutes, remove from pan to cool."", ""Note: To test for doness, insert a toothpick off center and if it comes out clean the bread is done.""]","[""sugar"", ""baking powder"", ""salad oil"", ""nutmeg"", ""eggs"", ""baking soda"", ""cinnamon"", ""solid pack pumpkin"", ""water"", ""flour"", ""allspice"", ""clove"", ""salt""]"
335,Peach Cobbler,"[""3/4 c. flour"", ""3/4 c. sugar"", ""3/4 c. milk"", ""2 tsp. baking powder"", ""1/2 c. melted butter or margarine"", ""1 large can or qt. halved or sliced peaches""]","[""Pour 1/2 cup melted butter or margarine into bottom of 9 1/2 x 11-inch baking dish."", ""Pour 1 large can halved or sliced peaches or any fruit evenly into bottom of baking dish."", ""Do not stir!""]","[""baking powder"", ""sugar"", ""flour"", ""milk"", ""peaches"", ""butter""]"
336,Beth'S Cheese And Bacon Quiche,"[""10 slices cooked bacon, crumbled"", ""1 pastry shell, unbaked"", ""4 eggs"", ""2 c. light cream"", ""1/2 t. salt"", ""1/8 t. nutmeg"", ""Pinch cayenne pepper"", ""1 1/4 c. grated Swiss or Gruyere cheese""]","[""Preheat oven to 425\u00b0. Sprinkle bacon over bottom of pastry shell. Combine eggs, cream, salt, nutmeg and cayenne pepper in a bowl and beat until thoroughly mixed. Sprinkle cheese over bacon and ladle egg mixture over top. Bake 15 minutes at 425\u00b0, lower the heat to 350\u00b0 and bake another 30 minutes.""]","[""bacon"", ""cayenne pepper"", ""nutmeg"", ""eggs"", ""pastry shell"", ""swiss"", ""light cream"", ""salt""]"
337,Savory Rubbed Roast Chicken,"[""2 teaspoons paprika"", ""1 teaspoon salt"", ""1 teaspoon onion powder"", ""1 teaspoon white pepper"", ""1 teaspoon cayenne pepper"", ""1 teaspoon dried thyme"", ""3/4 teaspoon garlic powder"", ""1/2 teaspoon pepper"", ""1 roasting chicken (6 to 7 pounds)"", ""1 large onion, cut into wedges""]","[""Preheat oven to 350\u00b0. In a small bowl, mix the first eight ingredients."", ""Pat chicken dry and place on a rack in a roasting pan, breast side up. Rub seasoning mixture over the outside and inside of chicken. Place onion inside cavity. Tuck wings under chicken; tie drumsticks together."", ""Roast 2 to 2-1/2 hours or until a thermometer inserted in thickest part of thigh reads 170\u00b0-175\u00b0. (Cover loosely with foil if chicken browns too quickly.) Remove chicken from oven; tent with foil. Let stand 15 minutes before carving.""]","[""pepper"", ""cayenne pepper"", ""onion powder"", ""white pepper"", ""onion"", ""thyme"", ""paprika"", ""garlic"", ""chicken"", ""salt""]"
338,"Peanut Butter Fudge(Small Batch, Can Be Doubled)  ","[""3 c. sugar (not extra fine)"", ""1 1/2 c. milk"", ""dash of salt"", ""1/2 stick butter"", ""1 tsp. vanilla"", ""1/2 jar Jiffy peanut butter""]","[""Remove from heat and add 1/2 stick butter and 1 teaspoon vanilla."", ""Let cool to 135\u00b0."", ""Add peanut butter."", ""Mix well."", ""Pour into buttered dish."", ""It should be getting stiff as you mix it up. It does not take long to set up.""]","[""sugar"", ""vanilla"", ""peanut butter"", ""milk"", ""butter"", ""salt""]"
339,Ravioli Lasagna,"[""PAM Original No-Stick Cooking Spray"", ""1 c. frozen loose cut leaf spinach"", ""2 can Chef Boyardee Beef Ravioli"", ""1 can Hunt's Diced Tomatoes"", ""1 1/2 tsp. dried Italian seasoning"", ""1 c. low-fat (1 percent) cottage cheese"", ""1/2 tsp. ground black pepper"", ""1 c. shredded Italian blend cheese""]","[""Preheat oven to 375 degrees F. Spray 8- by 8-inch glass baking dish with cooking spray."", ""Place spinach in microwave-safe bowl."", ""Cover with plastic wrap and microwave on high 2 minutes; squeeze spinach dry."", ""Combine ravioli, drained tomatoes, and Italian seasoning in medium microwave-safe bowl."", ""Cover with plastic wrap and microwave on high 3 to 4 minutes, or until mixture is hot."", ""Combine cottage cheese, spinach, and black pepper in small bowl."", ""Place half of ravioli mixture in bottom of baking dish."", ""Top with half of cottage cheese mixture and 1/2 cup shredded cheese."", ""Repeat layers."", ""Bake 15 minutes or until cheese is hot and bubbly.Each serving provides Vitamin A 16%, Vitamin C 10%, Calcium 20%, Iron 8%""]","[""tomatoes"", ""italian seasoning"", ""spray"", ""frozen loose"", ""ground black pepper"", ""cheese"", ""low-fat""]"
340,Strawberry Shortcakes,"[""2 1/2 cups sliced strawberries"", ""3 Tbs. sugar"", ""2 Tbs. lemon juice"", ""1 1/4 cups flour"", ""1 tsp. baking powder"", ""1 tsp. sugar"", ""1/2 tsp. baking soda"", ""1/4 tsp. salt"", ""2 Tbs. vegan margarine, cut into small pieces"", ""1 6-oz. container plain soy yogurt"", ""soy whipped cream""]","[""To make Filling: Combine strawberries, sugar, and lemon juice."", ""To make Shortcakes: Preheat oven to 450F."", ""Coat baking sheet with cooking spray."", ""Whisk together flour, baking powder, sugar, baking soda, and salt in bowl."", ""Rub margarine into flour mixture with fingertips until mixture resembles cornmeal."", ""Stir in yogurt until soft dough forms."", ""Pat dough into 1/2-inch-thick square on floured work surface."", ""Cut 4 biscuits with 2 1/2-inch round cutter."", ""Place on prepared baking sheet."", ""Make 4 more biscuits from dough scraps."", ""Bake 9 to 11 minutes, or until tops are golden."", ""Split biscuits, and set bottoms on plates."", ""Spoon 3 Tbs."", ""strawberries over each."", ""Top with 3 Tbs."", ""soy whipped cream."", ""Top with biscuit tops, remaining strawberries, and a swirl of whipped cream.""]","[""sugar"", ""baking powder"", ""lemon juice"", ""baking soda"", ""flour"", ""container plain soy yogurt"", ""margarine"", ""soy whipped cream"", ""strawberries"", ""salt""]"
341,Tastes Too Good to Be That Simple Chicken Casserole,"[""2 -4 chicken breasts, cubed (cube while raw for fastest prep time)"", ""29 ounces reduced-fat cream of chicken soup (2 cans)"", ""17 Ritz crackers (or a whole sleeve, crushed..can also use saltines)"", ""12 cup butter, melted (or butter sub)"", ""12 cup monterey jack cheese (optional)"", ""1 cup prepared couscous""]","[""Heat oven to 350F."", ""In a medium saucepan, put raw cubed chicken (cut it up with a pair of scissors to make quick work of it)."", ""Just cover with water, add a lid to the pot and bring to boil on high heat."", ""Reduce heat to medium-high and cook no more than 3-4 minutes after bringing to the boiling point."", ""Drain chicken and reserve."", ""Melt butter in microwave in a microwaveable bowl."", ""Crush Ritz crackers coarsely in the sleeve (I guessed at the amount needed.just use a sleeve)."", ""Don't pulverize them to powder."", ""You want to be able to still see 1/4 inch bits in there."", ""Stir crushed crackers into the melted butter."", ""In a seperate microwave safe bowl, heat the two cans of cream of chicken soup until hot.about 90 seconds."", ""Stir well."", ""If it's not hot, nuke one more minutes (watch out.the stuff explodes if you overdo it!"", "")."", ""Stir cubed and cooked chicken with hot soup."", ""If using, mix in Monterey Jack all except 2 tablespoons Put mixture in a casserole dish and top with the buttered crackers and the reserved 2 tbsp of cheese."", ""Bake, uncovered about 20 minutes or until crackers are golden brown and crispy."", ""If you are adding the cous couse, prepare the cous cous (takes 5 minutes for the cous cous) and add the prepared cous cous at the same time you stir together all the ingredients."", ""Enjoy!""]","[""cream of chicken soup"", ""chicken breasts"", ""crackers"", ""couscous"", ""cheese"", ""butter""]"
342,Lemon-Basil Orzo With Parmesan ,"[""3/4 cup uncooked orzo"", ""2 teaspoons olive oil"", ""2 teaspoons grated lemon rind"", ""2 garlic cloves, minced"", ""1/4 cup chopped fresh basil"", ""2 tablespoons (1/2 ounce) grated Parmigiano-Reggiano cheese"", ""1/4 teaspoon salt"", ""1/4 teaspoon black pepper"", ""Basil sprigs (optional)""]","[""Cook the orzo according to package directions, omitting the salt and fat. Drain."", """", "". While orzo cooks, heat oil in a medium nonstick skillet over medium-high heat. Add lemon rind and garlic; saute 1 minute. Remove from heat. Add orzo, basil, and remaining ingredients; toss well. Garnish with basil, if desired. Serve immediately."", """", ""Nutritional Information"", ""Calories:154 (21% from fat)"", ""Fat:3.6g (sat 0.7g)"", ""Protein:5.1g"", ""Carbohydrate:24.8g"", ""Fiber:1.4g"", ""Cholesterol:2mg"", ""Iron:0.2mg"", ""Sodium:184mg"", ""Calcium:36mg""]","[""black pepper"", ""lemon rind"", ""basil"", ""cheese"", ""garlic"", ""orzo"", ""fresh basil"", ""olive oil"", ""salt""]"
343,Blackberry Cake,"[""2/3 c. butter"", ""1 1/2 c. sugar"", ""2 eggs"", ""2 c. flour"", ""1 tsp. soda"", ""1/2 c. milk"", ""1 tsp. cinnamon"", ""1 tsp. nutmeg"", ""2 tsp. cocoa"", ""3 c. blackberries""]","[""Cream butter, sugar and eggs."", ""Add flour alternately with milk."", ""Add spices and cocoa."", ""Fold in blackberries."", ""Batter will be thick."", ""Spoon batter into loaf pan."", ""Bake at 350\u00b0 for 40 to 45 minutes.""]","[""sugar"", ""nutmeg"", ""eggs"", ""cinnamon"", ""soda"", ""flour"", ""blackberries"", ""cocoa"", ""milk"", ""butter""]"
344,Mormors Danish Crepes,"[""1 cup flour"", ""1 teaspoon salt"", ""1 teaspoon baking powder"", ""2 tablespoons icing sugar"", ""2 eggs"", ""1 cup milk"", ""12 teaspoon vanilla"", ""1 tablespoon lemon juice"", ""2 tablespoons icing sugar""]","[""Sift all dry ingredients together and make a well in the centre."", ""In a separate bowl, beat the eggs and add the remaining liquid ingredients."", ""Pour the beaten liquid into the flour mixture."", ""Don't over mix and ignore the small lumps."", ""Wipe a hot griddle lightly with oil."", ""Spoon batter onto hot griddle, and let it spread until thin."", ""When browned on bottom flip onto other side."", ""Fill with fresh fruit, and roll into tubes."", ""Sprinkle with fresh lemon juice, and coat with sieved icing sugar.""]","[""baking powder"", ""vanilla"", ""lemon juice"", ""eggs"", ""flour"", ""icing sugar"", ""milk"", ""salt""]"
345,Leona'S Nut Caramels(Margaret Wagner)  ,"[""2 c. sugar"", ""1 1/2 c. corn syrup"", ""1 c. whipping cream"", ""1 c. half and half"", ""1 c. butter"", ""1/2 c. nuts (optional)"", ""2 tsp. vanilla""]","[""Put sugar, syrup, whipping cream and butter in pot; stir until boils."", ""Then add half and half."", ""Place immediately in buttered pan."", ""Refrigerate.""]","[""sugar"", ""vanilla"", ""corn syrup"", ""whipping cream"", ""nuts"", ""butter""]"
346,Punch,"[""3 boxes red raspberry jello"", ""2 (12 oz.) cans frozen lemonade"", ""2 1/4 c. sugar"", ""5 c. boiling water"", ""16 oz. lemon juice"", ""1/2 oz. almond extract"", ""1 (46 oz.) can pineapple juice"", ""1 (46 oz.) can orange juice"", ""3 (32 oz.) bottles ginger ale""]","[""Dissolve sugar and the jello in boiling water. Make the frozen lemonade by the directions on the can. Add all the ingredients, except the ginger ale. this will make 3 plastic gallon jugs almost full, ready to freeze. Add 1 bottle of ginger ale to 1 jug of punch when ready to serve.""]","[""bottles ginger ale"", ""red raspberry jello"", ""sugar"", ""lemon juice"", ""pineapple juice"", ""orange juice"", ""frozen lemonade"", ""almond extract"", ""boiling water""]"
347,Cherry Salad Dessert(Frozen)  ,"[""1 c. condensed sweetened milk (Eagle Brand)"", ""1/2 c. lemon juice"", ""1/4 c. sugar"", ""1 medium can crushed pineapple and juice"", ""1 tsp. almond extract"", ""1 large can cherry pie filling""]","[""Combine all ingredients and mix well."", ""Fold in 1 large container Cool Whip."", ""Freeze."", ""Needs little, if any, thawing before serving.""]","[""sugar"", ""lemon juice"", ""condensed sweetened milk"", ""almond extract"", ""cherry pie filling"", ""pineapple""]"
348,Never Fail Pie Crust,"[""1 1/2 c. flour"", ""1/4 tsp. baking powder"", ""1/2 tsp. salt"", ""1/2 c. plus 2 Tbsp. Crisco"", ""1/2 egg (2 Tbsp.)"", ""3 Tbsp. water"", ""1 1/2 tsp. vinegar""]","[""Blend the eggs, water and vinegar together and set aside."", ""Mix dry ingredients with shortening until consistency of cornmeal or small peas."", ""Make a hole in the center of the dry mixture and add the egg mixture."", ""Mix until it forms a ball."", ""Divide and roll out. Makes 2 (8 to 9-inch) pie crusts.""]","[""egg"", ""baking powder"", ""crisco"", ""vinegar"", ""water"", ""flour"", ""salt""]"
349,Parmesan Corn Chowder,"[""2 c. boiling water"", ""1/2 c. carrots, sliced"", ""1 1/2 tsp. salt"", ""1/4 c. margarine"", ""2 c. milk"", ""1 (17 oz.) can creamed corn"", ""2 c. diced potatoes"", ""1/2 c. sliced celery"", ""1/2 tsp. pepper"", ""1 c. grated Parmesan cheese"", ""1/4 c. flour""]","[""Cook potatoes, celery and carrots in boiling water with salt and pepper for 10 minutes."", ""Make white sauce of flour, margarine and milk."", ""Melt cheese in sauce."", ""Add corn to sauce and then stir into vegetables."", ""Heat before serving.""]","[""potatoes"", ""corn"", ""pepper"", ""parmesan cheese"", ""celery"", ""flour"", ""margarine"", ""carrots"", ""milk"", ""boiling water"", ""salt""]"
350,Easy Chicken Corn Chowder,"[""1 (10 3/4 oz.) can cream of potato soup (undiluted)"", ""1 (16 1/2 oz.) can cream-style corn"", ""1 (5 oz.) can boned chicken"", ""2 c. milk"", ""1 chicken bouillon cube, crushed""]","[""In a large saucepan, stir all ingredients until well blended. Bring to a boil over medium heat."", ""Lower heat and simmer briefly. Makes four servings.""]","[""chicken bouillon cube"", ""cream of potato soup"", ""milk"", ""chicken"", ""cream-style""]"
351,French Toast Sandwich,"[""1 egg"", ""1 pinch cinnamon"", ""12 teaspoon vanilla"", ""2 slices bread (chalah bread works great)"", ""6 tablespoons milk"", ""condiments""]","[""beat the egg,cinnamon,vanilla,and milk in a large bowl."", ""(don't use a mixer,it will work better by hand)."", ""dip 1 of your slices of bread into the mixture."", ""(both sides)."", ""fry both sides of bread for 2 minutes each at medium heat in greased frying pan."", ""repeat for next slice."", ""now put whatever you want inside the two slices of french toast for condiments!"", ""peanut butter,maple syrup,strawberries,bananas,jelly,cream cheese, etc."", ""eat!""]","[""bread"", ""egg"", ""vanilla"", ""cinnamon"", ""condiments"", ""milk""]"
352,Home Done Pickled Beets,"[""2 c. vinegar"", ""1 c. sugar"", ""1 1/2 c. water"", ""nutmeg"", ""allspice"", ""cloves"", ""cinnamon""]","[""Cook beets."", ""Peel and pack in jars. Pour liquid over and seal.""]","[""vinegar"", ""sugar"", ""nutmeg"", ""cloves"", ""cinnamon"", ""water"", ""allspice""]"
353,Honey Chicken,"[""1/4 c. vegetable oil"", ""1/4 c. honey"", ""1/4 c. cider vinegar"", ""1 jar chili sauce"", ""2 tsp. Worcestershire sauce"", ""1 envelope onion soup mix""]","[""In a small bowl, combine vegetable oil, honey, cider vinegar and chili sauce."", ""Add remaining ingredients."", ""Place chicken pieces in a shallow baking pan."", ""Pour sauce over chicken and bake, uncovered, at 350\u00b0 for 1 hour.""]","[""chili sauce"", ""onion soup"", ""vegetable oil"", ""cider vinegar"", ""honey"", ""worcestershire sauce""]"
354,Tuna Pasta Bake,"[""6 strips lasagna"", ""1/2 c. chopped onion"", ""1 Tbsp. vegetable oil"", ""1/4 c. flour"", ""2 c. chopped fresh or frozen vegetables"", ""1 c. milk"", ""1/3 c. lemon juice"", ""1 1/2 c. shredded Mozzarella cheese"", ""1 c. cottage cheese"", ""1/4 c. grated Parmesan cheese"", ""1 egg"", ""1/4 tsp. pepper"", ""1 can tuna, drained""]","[""Place lasagna in 12 x 7-inch glass baking dish."", ""Cover with water and set aside."", ""Combine onion, oil and flour."", ""Cook on High 1 minute."", ""Stir to dissolve flour."", ""Stir in vegetables and milk. Cook on High 4 minutes, stirring once."", ""Stir in lemon juice. Combine 1 cup Mozzarella, cottage cheese, Parmesan, egg and pepper."", ""Drain lasagna.""]","[""egg"", ""cottage cheese"", ""lemon juice"", ""pepper"", ""mozzarella cheese"", ""parmesan cheese"", ""tuna"", ""onion"", ""flour"", ""vegetables"", ""milk"", ""lasagna"", ""vegetable oil""]"
355,Hearts Of Romaine Salad,"[""1/4 cup extra virgin olive oil"", ""1/4 cup Champagne vinegar or white wine vinegar"", ""2 tablespoons minced shallots"", ""1 tablespoon whole-grain Dijon mustard"", ""2 teaspoons honey"", ""3/4 teaspoon salt"", ""1/4 teaspoon freshly ground pepper"", ""4 romaine lettuce hearts"", ""8 radishes, halved and thinly sliced"", ""Garnishes: freshly shaved Parmesan cheese, chopped fresh chives""]","[""Whisk together first 7 ingredients until blended. Cover and chill 30 minutes. (Dressing may be stored in refrigerator up to 3 days.)"", ""Cut romaine hearts in half lengthwise, keeping leaves intact. Arrange halves on individual serving plates. Sprinkle with radishes. Drizzle with vinaigrette. Season with salt and pepper to taste. Garnish, if desired.""]","[""romaine lettuce hearts"", ""vinegar"", ""extra virgin olive oil"", ""freshly ground pepper"", ""shallots"", ""radishes"", ""whole-grain"", ""freshly shaved parmesan cheese"", ""honey"", ""salt""]"
356,Hurley Hash Browns,"[""1 (32 ounce) bag frozen shredded hash browns"", ""1 cup butter"", ""1 (32 ounce) can condensed cream of chicken soup"", ""8 ounces sour cream (small container)"", ""2 cups shredded cheddar cheese"", ""2 cups corn flakes""]","[""Preheat oven to 400 deg. Put hash browns i casserole pan."", ""Melt 1 stick of butter and spread on hash browns."", ""In lg. bowl mix together soup, sour cream & cheese. spread onto hash browns."", ""Put corn flakes into ziplock and smash into pieces."", ""Melt other stick of butter and mix into corn flakes. spread over hash browns."", ""Bake for 40 minute Serve. (careful it's hot!).""]","[""sour cream"", ""condensed cream"", ""cheddar cheese"", ""corn flakes"", ""browns"", ""butter""]"
357,Spanakopizza,"[""1 pizza dough, refrigerated or from your favorite pizzeria"", ""1 tablespoon extra-virgin olive oil, 1 turn of the pan, plus some for drizzling"", ""1 teaspoon dried oregano, lightly crushed in the palm"", ""1 tablespoon butter"", ""1 pound ground chicken or turkey breast"", ""1/2 red onion, chopped"", ""2 cloves garlic, chopped"", ""1 tablespoon grill seasoning, a palm full (recommended: Montreal Steak Seasoning by McCormick)"", ""2 (10-ounce) boxes, frozen spinach, defrosted"", ""1 cup feta crumbles"", ""Salt and freshly ground black pepper"", ""2 cups shredded mozzarella cheese or shredded provolone"", ""2 jars roasted red peppers, drained"", ""1/4 cup (10 to 12) pitted kalamata olives"", ""1 cup arugula, coarsely chopped or shredded or 1/4 cup chopped flat-leaf parsley"", ""1/3 seedless cucumber, thinly sliced lengthwise"", ""Hot pepper rings or pepperoncini, optional""]","[""Heat oven to 425 degrees F."", ""Stretch out your dough on to a pizza stone or into a pizza pan."", ""Pierce the dough with a fork, drizzle the dough with a touch of extra-virgin olive oil and sprinkle it with oregano."", ""Bake dough 10 minutes."", ""While the pizza dough bakes, heat a tablespoon of extra-virgin olive oil (1 turn of the pan) in a large nonstick skillet over medium to medium-high heat."", ""Add butter to the warm oil, then the chicken or turkey."", ""Lightly brown the meat 3 to 4 minutes, then add the chopped red onion, garlic and grill seasoning and cook 5 minutes more."", ""Wring the defrosted spinach dry by twisting it in a clean kitchen towel over your sink."", ""Add it to the meat, separating it with your fingers."", ""Add in feta crumbles."", ""Once the pizza has cooked 10 minutes, remove dough and top evenly with meat and spinach mixture."", ""Cover the pizza with shredded mozzarella or provolone, roasted peppers and olives."", ""Bake pizza another 13 to 15 minutes until cheese is bubbly and crust is crisp."", ""Remove pizza from oven, top with chopped parsley or arugula, cucumbers and hot peppers and serve.""]","[""oregano"", ""extra-virgin olive oil"", ""pepper"", ""red peppers"", ""olives"", ""mozzarella cheese"", ""grill seasoning"", ""frozen spinach"", ""arugula"", ""feta crumbles"", ""cucumber"", ""pizza dough"", ""butter"", ""garlic"", ""red onion"", ""chicken"", ""salt""]"
